DARWIN CITY,NT,0800,-12.4633,130.8434
AARONS PASS,NSW,2850,-32.8745,149.8005
ABBA RIVER,WA,6280,-33.6835,115.4868
ABBEY,WA,6280,-33.6636,115.2564
ABBEYARD,VIC,3737,-37.016,146.7935
ABBEYWOOD,QLD,4613,-26.1084,151.6432
ABBOTSBURY,NSW,2176,-33.8737,150.8595
ABBOTSFORD,NSW,2046,-33.8503,151.1298
ABBOTSFORD,VIC,3067,-37.8037,145
ABBOTSFORD,QLD,4670,-24.8318,152.0088
ABBOTSHAM,TAS,7315,-41.2107,146.181
ABELS BAY,TAS,7112,-43.2294,147.1077
ABERCORN,QLD,4627,-25.138,151.1587
ABERCROMBIE,NSW,2795,-33.392,149.5617
ABERCROMBIE RIVER,NSW,2795,-33.9116,149.3526
ABERDARE,NSW,2325,-32.8386,151.3695
ABERDARE STATE FOREST,NSW,2323,-32.87925974,151.346503
ABERDARE STATE FOREST,NSW,2325,-32.87925974,151.346503
ABERDEEN,NSW,2336,-32.1704,150.9042
ABERDEEN,TAS,7310,-41.2423,146.3258
ABERFELDIE,VIC,3040,-37.7598,144.8969
ABERFELDY,VIC,3825,-37.702,146.379
ABERFOYLE,NSW,2350,-30.2369,151.9884
ABERFOYLE PARK,SA,5159,-35.0722,138.5992
ABERGLASSLYN,NSW,2320,-32.6935,151.5326
ABERGOWRIE,QLD,4850,-18.4388,145.924
ABERMAIN,NSW,2326,-32.8177,151.4361
ABERNETHY,NSW,2325,-32.8859,151.4023
ABINGDON DOWNS,QLD,4892,-17.8113,143.4577
ABINGTON,NSW,2350,-30.3267,151.2179
ABINGTON,QLD,4660,-25.2095,152.3574
ABMINGA STATION,SA,5440,-32.219,140.3154
ACACIA CREEK,NSW,2476,-28.3764,152.3215
ACACIA GARDENS,NSW,2763,-33.7341,150.914
ACACIA HILLS,TAS,7306,-41.2792,146.3343
ACACIA HILLS,NT,0822,-12.7703,131.1419
ACACIA RIDGE,QLD,4110,-27.5842,153.0219
ACHERON,VIC,3714,-37.2705,145.7082
ACLAND,QLD,4401,-27.314,151.6837
ACTON,ACT,2601,-35.2813,149.1127
ACTON,TAS,7320,-41.0725,145.893
ACTON PARK,WA,6280,-33.7581,115.3741
ACTON PARK,TAS,7170,-42.8711,147.4826
ADA,VIC,3833,-37.8407,145.8552
ADAMINABY,NSW,2629,-35.9976,148.7719
ADAMS ESTATE,VIC,3984,-38.4246,145.5313
ADAMSTOWN,NSW,2289,-32.9391,151.7258
ADAMSTOWN HEIGHTS,NSW,2289,-32.9489,151.7106
ADAMSVALE,WA,6375,-32.2217,117.7307
ADARE,QLD,4343,-27.5101,152.2895
ADAVALE,QLD,4474,-25.6174,144.7197
ADDINGTON,VIC,3352,-37.3915,143.6666
ADELAIDE,SA,5000,-34.9256,138.6002
ADELAIDE,SA,5001,-34.92769835,138.6065035
ADELAIDE AIRPORT,SA,5950,-34.9476,138.5335
ADELAIDE BC,SA,5000,-34.92807171,138.6007527
ADELAIDE LEAD,VIC,3465,-37.086,143.6693
ADELAIDE PARK,QLD,4703,-23.0955,150.6962
ADELAIDE RIVER,NT,0846,-13.1661,131.1674
ADELONG,NSW,2729,-35.3048,148.0692
ADJUNGBILLY,NSW,2727,-35.0313,148.4601
ADVANCETOWN,QLD,4211,-28.0657,153.2711
ADVENTURE BAY,TAS,7150,-43.3476,147.3128
AEROGLEN,QLD,4870,-16.8761,145.7641
AFTERLEE,NSW,2474,-28.5695,152.8254
AGERY,SA,5558,-34.1443,137.6992
AGNES,VIC,3962,-38.6839,146.3886
AGNES BANKS,NSW,2753,-33.6263,150.6988
AGNES WATER,QLD,4677,-24.2244,151.9068
AINSLIE,ACT,2602,-35.2636,149.1482
